"Medicare Part D Drug Spending and Utilization, Calendar Years 2015 - 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Manufacturer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Average spending per dosage unit reflects multiple routes of administration of the drug (e.g., intravenous, subcutaneous) which individually may have different unit pricing. Additional information regarding calculation of spending per unit can be found in the methodology document.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2015,,,,,,,,2016,,,,,,,,,2017,,,,,,,2018,,,,,,,,2019,,,,,,,,Yearly Change  ,
Abacavir,Abacavir Sulfate,Rising Pharm, , , , , , , , , , , , , , , , , , , , , , , , ,"$88,001.92","$175,280.00",263,62,$0.50,$334.61,"$1,419.39",0,"$142,257.84","312,210",433,77,$0.46,$328.54,"$1,847.50",0,-9.25%,-9.25%
Abacavir,Abacavir Sulfate,Strides Pharma, , , , , , , , , , , , , , , , ,"$588,787.52","125,533","2,018",798,$4.69,$291.77,$737.83,0,"$31,864.29","$7,006.00",125,60,$4.55,$254.91,$531.07,0,"$6,729.76","1,200",21, ,$5.61,$320.46, ,1,23.31%,9.35%
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,Aurobindo Pharm, , , , , , , , , , , , , , , , ,"$4,999,002.24","308,943","9,738","2,279",$16.18,$513.35,"$2,193.51",0,"$5,046,970.78","$442,377.00","13,696","2,312",$11.41,$368.50,"$2,182.95",1,"$4,039,930.74","324,606","9,348","1,597",$12.45,$432.17,"$2,529.70",0,9.09%,-12.30%
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,Burel Pharmaceu, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$3,423,734.03","287,300","7,848","1,608",$11.92,$436.26,"$2,129.19",0, , 
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,"Cipla USA, Inc.", , , , , , , , , , , , , , , , ,"$3,953,105.92","260,782","8,648","2,419",$15.16,$457.11,"$1,634.19",1,"$6,074,560.49","$552,359.00","17,488","3,233",$11.00,$347.36,"$1,878.92",1,"$5,147,233.64","502,897","14,960","2,625",$10.24,$344.07,"$1,960.85",0,-6.93%,-17.83%
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,Lupin Pharmaceu, , , , , , , , , , , , , , , , ,"$6,155,264.16","392,254","12,962","3,149",$15.69,$474.87,"$1,954.67",0,"$4,838,964.41","$434,824.00","14,393","2,560",$11.13,$336.20,"$1,890.22",1,"$3,869,971.45","333,466","10,503","1,850",$11.61,$368.46,"$2,091.88",0,4.28%,-14.00%
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,Prasco Labs, , , , , , , , ,"$6,765,112.20","199,418","6,430","3,103",$33.92,"$1,052.12","$2,180.18",0,"$17,465,620.62","773,662","25,423","5,044",$22.58,$687.00,"$3,462.65",0,"$6,318,824.07","$555,419.00","17,754","2,804",$11.38,$355.91,"$2,253.50",1,"$938,661.98","72,843","2,258","1,144",$12.89,$415.71,$820.51,0,13.27%,-27.58%
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,Teva USA, , , , , , , , ,"$7,990,669.89","240,422","7,475","3,769",$33.24,"$1,068.99","$2,120.10",0,"$18,697,999.66","769,309","23,906","5,459",$24.30,$782.15,"$3,425.17",0,"$2,308,120.73","$240,605.00","7,153","1,852",$9.59,$322.68,"$1,246.29",1,"$2,021,738.55","172,505","5,314","1,391",$11.72,$380.46,"$1,453.44",0,22.17%,-29.35%
Abacavir-Lamivudine-Zidovudine,Abacavir/Lamivudine/Zidovudine,Lupin Pharmaceu,"$16,626,213.80","759,933","12,216","1,621",$21.88,"$1,361.02","$10,256.76",0,"$12,787,721.57","608,455","9,765","1,333",$21.02,"$1,309.55","$9,593.19",0,"$10,164,840.09","468,641","7,454",973,$21.69,"$1,363.68","$10,446.91",0,"$6,955,321.12","$330,735.00","5,298",710,$21.03,"$1,312.82","$9,796.23",0,"$4,849,598.99","225,020","3,648",493,$21.55,"$1,329.39","$9,836.91",0,2.48%,-0.38%
Abelcet,Amphotericin B Lipid Complex,Leadiant Biosci,"$552,847.75","47,600",439,102,$11.61,"$1,259.33","$5,420.08",0,"$752,938.84","85,650",476,140,$8.79,"$1,581.80","$5,378.13",1,"$675,695.03","68,490",420,137,$9.87,"$1,608.80","$4,932.08",0,"$766,166.41","$101,857.38",620,205,$7.52,"$1,235.75","$3,737.40",0,"$618,247.30","120,570",777,226,$5.13,$795.69,"$2,735.61",0,-31.83%,-18.49%
Abilify Maintena,Aripiprazole,Otsuka America,"$148,259,378.06","92,724","92,207","14,000","$1,599.00","$1,607.90","$10,589.96",0,"$201,856,628.39","117,247","116,223","17,158","$1,721.53","$1,736.80","$11,764.58",0,"$262,099,777.91","138,171","137,504","19,579","$1,897.01","$1,906.12","$13,386.78",0,"$345,985,509.08","$165,496.47","164,801","22,941","$2,090.80","$2,099.41","$15,081.54",0,"$422,132,118.94","189,978","189,169","25,427","$2,222.09","$2,231.51","$16,601.73",0,6.28%,8.57%
Abilify Mycite,Aripiprazole,Otsuka America, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$40,552.86",720,24, ,$56.32,"$1,689.70", ,1, , 
Abilify*,Aripiprazole,Otsuka America*,"$1,572,428,342.90","47,855,047","1,635,117","322,585",$33.12,$961.66,"$4,874.46",0,"$92,477,574.29","2,936,652","97,642","39,261",$31.48,$947.11,"$2,355.46",0,"$37,793,640.62","1,159,683","32,277","6,976",$32.72,"$1,170.92","$5,417.67",0,"$31,075,271.98","$950,672.33","25,664","4,693",$32.84,"$1,210.85","$6,621.62",0,"$26,868,326.75","808,697","20,942","3,672",$33.40,"$1,282.99","$7,317.08",0,1.71%,0.21%
Abiraterone Acetate,Abiraterone Acetate,Amneal Pharmace, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$20,386,448.34","439,622","3,774","1,234",$46.37,"$5,401.81","$16,520.62",0, , 
Abiraterone Acetate,Abiraterone Acetate,Apotex Corp, , , , , , , , , , , , , , , , , , , , , , , , ,"$10,934,145.94","$171,807.00","1,418","1,334",$63.64,"$7,710.96","$8,196.51",0,"$114,778,256.63","2,218,449","18,996","6,121",$51.74,"$6,042.23","$18,751.55",0,-18.70%,-18.70%
Abiraterone Acetate,Abiraterone Acetate,Avkare, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$395,384.44","7,130",59,43,$55.45,"$6,701.43","$9,194.99",0, , 
Abiraterone Acetate,Abiraterone Acetate,Mylan, , , , , , , , , , , , , , , , , , , , , , , , ,"$4,650,291.61","$80,017.00",653,599,$58.12,"$7,121.43","$7,763.43",0,"$89,624,661.26","1,938,999","16,408","4,018",$46.22,"$5,462.25","$22,305.79",0,-20.47%,-20.47%
Abiraterone Acetate,Abiraterone Acetate,Novadoz Pharmac, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$20,635,781.20","564,258","4,957","2,138",$36.57,"$4,162.96","$9,651.91",0, , 
Abiraterone Acetate,Abiraterone Acetate,Patriot Pharmac, , , , , , , , , , , , , , , , , , , , , , , , ,"$8,067,619.77","$125,781.00","1,054",974,$64.14,"$7,654.29","$8,282.98",0,"$231,509,347.17","5,053,846","43,130","10,564",$45.81,"$5,367.71","$21,914.93",0,-28.58%,-28.58%
Abiraterone Acetate,Abiraterone Acetate,Teva USA, , , , , , , , , , , , , , , , , , , , , , , , ,"$1,843,951.75","$27,914.00",242,214,$66.06,"$7,619.64","$8,616.60",0,"$11,777,466.40","236,279","2,016",679,$49.85,"$5,842.00","$17,345.31",0,-24.54%,-24.54%
Abiraterone Acetate,Abiraterone Acetate,West-Ward/Hikma, , , , , , , , , , , , , , , , , , , , , , , , ,"$1,127,427.30","$29,604.00",255,249,$38.08,"$4,421.28","$4,527.82",1,"$15,366,088.51","871,312","7,635","1,731",$17.64,"$2,012.59","$8,877.00",0,-53.69%,-53.69%
Abiraterone Acetate,Abiraterone Acetate,Wockhardt USA L, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$8,538,883.37","196,154","1,711",819,$43.53,"$4,990.58","$10,425.99",0, , 
Abraxane,Paclitaxel Protein-Bound,Celgene,"$4,481,987.77","4,478",824,226,"$1,000.89","$5,439.31","$19,831.80",0,"$5,472,304.71","4,766",890,247,"$1,148.29","$6,148.66","$22,155.08",0,"$4,693,801.60","3,783",710,197,"$1,240.76","$6,610.99","$23,826.40",0,"$5,675,297.99","$4,441.00",827,236,"$1,277.93","$6,862.51","$24,047.87",0,"$8,823,393.29","6,332","1,193",334,"$1,393.46","$7,395.97","$26,417.35",0,9.04%,8.62%
Absorica,Isotretinoin,Sun Pharmaceuti,"$287,388.53","10,540",224,106,$27.19,"$1,282.98","$2,711.21",0,"$273,335.55","8,820",179,88,$30.94,"$1,527.01","$3,106.09",0,"$379,410.66","11,460",246,108,$33.10,"$1,542.32","$3,513.06",0,"$317,230.79","$8,970.00",180,78,$35.32,"$1,762.39","$4,067.06",0,"$256,597.51","6,840",150,47,$37.44,"$1,710.65","$5,459.52",0,5.98%,8.32%
Abstral,Fentanyl Citrate,Sentynl Therapu, , , , , , , , , , , , , , , , ,"$5,656,411.65","63,520",579,83,$86.92,"$9,769.28","$68,149.54",0,"$4,608,261.68","$48,930.00",406,44,$91.21,"$11,350.40","$104,733.22",0,"$2,209,365.08","21,037",163,25,$100.62,"$13,554.39","$88,374.60",0,10.31%,7.59%
Acamprosate Calcium,Acamprosate Calcium,AHP, , , , , , , , ,"$6,974.19","6,932",62,45,$1.01,$112.49,$154.98,0,"$4,933.66","4,507",41,32,$1.09,$120.33,$154.18,0,"$3,358.03","$2,860.00",27,17,$1.17,$124.37,$197.53,1,"$2,461.50","2,537",28,14,$0.97,$87.91,$175.82,1,-17.37%,-1.20%
Acamprosate Calcium,Acamprosate Calcium,Glenmark Pharma,"$3,000,154.60","3,187,223","20,005","7,085",$0.94,$149.97,$423.45,0,"$3,105,826.66","3,302,434","20,608","7,150",$0.94,$150.71,$434.38,0,"$3,128,131.95","3,095,320","19,253","6,289",$1.01,$162.48,$497.40,0,"$3,043,129.45","$3,171,030.00","19,568","6,477",$0.96,$155.52,$469.84,0,"$3,742,669.11","3,798,083","22,645","7,646",$0.99,$165.28,$489.49,0,2.68%,1.15%
Acamprosate Calcium,Acamprosate Calcium,Marlex Pharm., , , , , , , , , , , , , , , , , , , , , , , , ,"$5,338.07","$4,643.00",35,24,$1.15,$152.52,$222.42,0,"$6,121.51","6,614",48,27,$0.93,$127.53,$226.72,0,-19.50%,-19.50%
Acamprosate Calcium,Acamprosate Calcium,Mylan,"$1,171,742.75","1,290,819","8,260","3,422",$0.91,$141.86,$342.41,0,"$939,318.53","1,058,141","6,853","3,101",$0.89,$137.07,$302.91,0,"$1,020,198.93","1,072,656","6,918","2,584",$0.95,$147.47,$394.81,0,"$523,392.12","$573,142.00","3,774","1,612",$0.91,$138.68,$324.68,0,"$150,985.65","169,386","1,106",582,$0.89,$136.52,$259.43,0,-2.39%,-0.45%
Acamprosate Calcium,Acamprosate Calcium,Mylan Instituti,"$32,225.85","34,336",259,140,$0.94,$124.42,$230.18,0,"$55,273.44","58,576",414,199,$0.94,$133.51,$277.76,0,"$30,122.24","29,292",223,104,$1.03,$135.08,$289.64,0,"$24,986.05","$29,079.00",219,103,$0.86,$114.09,$242.58,0,"$6,333.89","7,099",56,42,$0.89,$113.11,$150.81,0,3.84%,-1.26%
Acamprosate Calcium,Acamprosate Calcium,Teva USA, , , , , , , , ,"$535,556.85","545,121","3,136","1,525",$0.98,$170.78,$351.18,0,"$574,013.66","581,960","3,524","1,708",$0.99,$162.89,$336.07,0,"$105,642.26","$111,579.00",757,410,$0.95,$139.55,$257.66,0,"$71,329.76","74,028",481,246,$0.96,$148.29,$289.96,0,1.77%,-0.65%
Acamprosate Calcium,Acamprosate Calcium,Zydus Pharmaceu, , , , , , , , , , , , , , , , ,"$438,423.17","438,551","2,637","1,373",$1.00,$166.26,$319.32,0,"$1,593,864.06","$1,674,631.00","10,472","4,054",$0.95,$152.20,$393.16,0,"$2,161,886.42","2,064,910","12,816","4,598",$1.05,$168.69,$470.18,0,10.00%,2.34%
Acanya,Clindamycin Phos/Benzoyl Perox,Valeant/Bausch,"$360,520.84","42,010",799,452,$8.58,$451.22,$797.61,0,"$293,488.75","33,180",630,354,$8.85,$465.86,$829.06,0,"$256,440.73","26,690",498,275,$9.61,$514.94,$932.51,0,"$146,741.77","$13,850.00",254,143,$10.60,$577.72,"$1,026.17",0,"$60,935.72","5,750",107,56,$10.60,$569.49,"$1,088.14",0,0.02%,5.42%
Acarbose,Acarbose,Alvogen Inc,"$385,561.96","880,229","5,205","2,187",$0.44,$74.08,$176.30,0,"$1,317,934.32","3,015,623","23,226","7,137",$0.44,$56.74,$184.66,0,"$1,785,848.35","4,275,485","35,182","8,930",$0.42,$50.76,$199.98,0,"$1,790,391.82","$4,538,894.50","35,679","9,984",$0.40,$50.18,$179.33,0,"$970,603.13","2,335,043","18,358","7,022",$0.42,$52.87,$138.22,0,5.12%,-1.34%
Acarbose,Acarbose,Avkare, , , , , , , , ,$647.48,"1,170",12, ,$0.56,$53.96, ,1,"$1,684.21","3,060",32, ,$0.57,$52.63, ,0,"$2,636.17","$5,400.00",47,19,$0.50,$56.09,$138.75,0,$812.84,"1,320",14, ,$0.62,$58.06, ,1,22.96%,3.41%
Acarbose,Acarbose,Heritage Pharma,"$1,881,802.31","3,938,909","28,364","8,232",$0.48,$66.34,$228.60,0,"$349,818.41","759,413","5,773","2,480",$0.46,$60.60,$141.06,0,"$51,904.91","130,388","1,257",385,$0.40,$41.29,$134.82,0,"$31,585.49","$86,983.00",789,208,$0.37,$40.03,$151.85,0,"$27,769.95","75,627",728,182,$0.37,$38.15,$152.58,0,0.17%,-6.28%
Acarbose,Acarbose,Roxane/West-War,"$4,160,580.97","8,811,740","82,140","18,015",$0.47,$50.65,$230.95,0,"$2,117,200.42","5,179,156","48,301","14,438",$0.41,$43.83,$146.64,0,"$555,607.46","1,418,896","13,735","3,828",$0.39,$40.45,$145.14,0,"$307,877.52","$897,667.00","8,449","2,191",$0.34,$36.44,$140.52,0,"$2,167,010.24","6,381,532","41,190","13,133",$0.34,$52.61,$165.00,0,-0.69%,-7.90%
Acarbose,Acarbose,Strides Pharma,"$366,495.82","809,035","7,428","2,492",$0.45,$49.34,$147.07,0,"$1,412,045.24","3,606,788","28,878","9,124",$0.39,$48.90,$154.76,0,"$2,020,173.31","5,601,986","44,185","11,791",$0.36,$45.72,$171.33,0,"$2,437,329.33","$6,912,967.50","53,535","16,388",$0.35,$45.53,$148.73,0,"$4,201,093.06","12,321,850","90,040","23,638",$0.34,$46.66,$177.73,0,-3.45%,-6.82%
Acarbose,Acarbose,Virtus Pharmace,"$539,631.42","1,226,422","9,098","4,384",$0.44,$59.31,$123.09,0,"$3,422,194.93","8,969,917","65,045","19,607",$0.38,$52.61,$174.54,0,"$5,130,489.28","14,295,356","99,017","26,313",$0.36,$51.81,$194.98,0,"$5,005,864.75","$14,225,691.50","94,597","27,177",$0.35,$52.92,$184.19,0,"$2,387,258.26","6,757,983","42,013","15,320",$0.35,$56.82,$155.83,0,0.52%,-5.34%
Accolate,Zafirlukast,Par Pharmaceuti,"$385,693.96","104,988","1,161",277,$3.67,$332.21,"$1,392.40",0,"$438,430.04","119,582","1,357",300,$3.67,$323.09,"$1,461.43",0,"$374,889.01","100,896","1,082",190,$3.72,$346.48,"$1,973.10",0,"$335,122.21","$89,645.00",951,166,$3.74,$352.39,"$2,018.81",0,"$267,173.42","70,926",730,141,$3.77,$365.99,"$1,894.85",0,0.76%,0.62%
Accupril,Quinapril HCl,Pfizer US Pharm,"$1,129,256.33","387,580","5,760","1,089",$2.91,$196.05,"$1,036.97",0,"$2,144,784.89","632,695","8,201","1,751",$3.39,$261.53,"$1,224.89",0,"$2,579,860.45","633,931","8,091","1,731",$4.07,$318.86,"$1,490.39",0,"$2,823,256.85","$609,380.00","7,381","1,640",$4.63,$382.50,"$1,721.50",0,"$2,657,878.87","575,596","6,756","1,518",$4.62,$393.41,"$1,750.91",0,-0.35%,12.20%
Accuretic,Quinapril/Hydrochlorothiazide,Pfizer US Pharm,"$77,105.43","27,320",373,91,$2.82,$206.72,$847.31,0,"$282,084.23","86,664",961,252,$3.26,$293.53,"$1,119.38",0,"$328,817.05","84,381",986,257,$3.90,$333.49,"$1,279.44",0,"$354,071.71","$80,439.00",931,229,$4.40,$380.31,"$1,546.16",0,"$311,595.63","70,847",776,211,$4.40,$401.54,"$1,476.76",0,-0.10%,11.72%
Acebutolol HCl,Acebutolol HCl,Amneal Pharmace,"$1,515,037.80","6,064,176","70,018","14,530",$0.25,$21.64,$104.27,0,"$2,132,902.91","6,125,944","69,803","13,985",$0.35,$30.56,$152.51,0,"$1,968,394.35","5,940,669","65,584","15,034",$0.33,$30.01,$130.93,0,"$2,080,890.32","$6,051,355.00","63,320","15,699",$0.34,$32.86,$132.55,0,"$4,383,652.48","9,364,972","91,009","20,751",$0.47,$48.17,$211.25,0,36.01%,16.98%
Acebutolol HCl,Acebutolol HCl,Avpak,$435.55,864,31, ,$0.51,$14.05, ,0,$531.82,940,32, ,$0.57,$16.62, ,0,$536.41,"1,340",23, ,$0.40,$23.32, ,1, , , , , , , , ,"$1,917.84","7,850",94,57,$0.24,$20.40,$33.65,0, ,-16.74%
Acebutolol HCl,Acebutolol HCl,Marlex Pharm., , , , , , , , , , , , , , , , , , , , , , , , ,$913.47,"$2,760.00",34,16,$0.34,$26.87,$57.09,1,"$2,669.35","6,658",93,60,$0.41,$28.70,$44.49,0,20.25%,20.25%
Acebutolol HCl,Acebutolol HCl,Mylan,"$1,239,391.30","4,900,855","53,941","11,950",$0.25,$22.98,$103.71,0,"$1,567,538.45","4,679,025","49,620","11,215",$0.34,$31.59,$139.77,0,"$1,414,688.45","4,641,448","47,017","12,916",$0.30,$30.09,$109.53,0,"$1,408,115.98","$4,295,127.00","42,037","11,259",$0.33,$33.50,$125.07,0,"$245,143.14","591,928","6,505","3,744",$0.41,$37.69,$65.48,0,25.06%,12.80%
Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,Xspire Pharma,"$35,030.83","13,791",166,116,$2.54,$211.03,$301.99,0,"$326,990.99","136,010","1,496",756,$2.40,$218.58,$432.53,0,"$514,160.74","215,347","2,261","1,130",$2.39,$227.40,$455.01,0,"$507,947.64","$203,714.00","2,277","1,070",$2.49,$223.08,$474.72,0,"$581,219.08","221,226","2,782","1,205",$2.63,$208.92,$482.34,0,5.37%,0.85%
Acetaminophen-Codeine,Acetaminophen With Codeine,AHP,"$65,675.56","267,035","4,422","3,158",$0.23,$14.85,$20.80,0,"$20,551.04","56,914","1,174",632,$0.34,$17.51,$32.52,0,"$9,480.26","32,871",622,348,$0.29,$15.24,$27.24,0,"$3,670.49","$14,921.00",253,172,$0.27,$14.51,$21.34,0,"$2,191.04","6,671",194,107,$0.35,$11.29,$20.48,0,29.99%,10.42%
Acetaminophen-Codeine,Acetaminophen With Codeine,Amneal Pharmace,"$4,732,720.68","22,883,867","458,284","296,054",$0.21,$10.33,$15.99,0,"$10,532,865.92","49,951,497","1,007,872","561,863",$0.21,$10.45,$18.75,0,"$7,141,747.09","40,970,530","856,942","487,440",$0.17,$8.33,$14.65,0,"$6,794,829.23","$32,735,309.50","712,492","407,976",$0.21,$9.54,$16.65,0,"$3,590,931.79","17,036,516","413,802","241,219",$0.21,$8.68,$14.89,0,1.55%,0.48%
Acetaminophen-Codeine,Acetaminophen With Codeine,Aurobindo Pharm,"$1,088,206.40","4,749,827","81,418","62,660",$0.21,$13.37,$17.37,0,"$2,545,660.48","8,700,726","110,620","53,499",$0.28,$23.01,$47.58,0,"$5,223,978.79","22,331,773","322,348","162,263",$0.23,$16.21,$32.19,0,"$7,077,389.11","$31,969,224.00","570,581","296,150",$0.21,$12.40,$23.90,0,"$8,185,830.93","33,715,118","657,360","308,468",$0.23,$12.45,$26.54,0,6.86%,2.12%
Acetaminophen-Codeine,Acetaminophen With Codeine,Eywa Pharma Inc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$19,972.21","101,487","1,663","1,315",$0.19,$12.01,$15.19,0, , 
Acetaminophen-Codeine,Acetaminophen With Codeine,Hi-Tech/Akorn C,"$202,149.68","8,042,628","26,220","18,267",$0.03,$7.71,$11.07,0,"$208,010.37","8,400,273","26,728","17,883",$0.02,$7.78,$11.63,0,"$197,337.64","8,080,579","25,800","17,403",$0.02,$7.65,$11.34,0,"$170,119.39","$6,544,911.25","20,718","13,587",$0.03,$8.21,$12.52,0,"$127,195.85","5,087,379","16,465","10,579",$0.03,$7.73,$12.02,0,-3.80%,-0.13%
Acetaminophen-Codeine,Acetaminophen With Codeine,Mallinckrodt Ph,"$6,605,116.85","23,264,856","430,491","250,039",$0.28,$15.34,$26.42,0,"$9,986,786.52","34,635,567","635,103","327,619",$0.28,$15.72,$30.48,0,"$13,825,093.42","59,831,426","1,068,538","520,574",$0.22,$12.94,$26.56,0,"$15,576,302.19","$70,168,645.00","1,298,824","654,344",$0.22,$11.99,$23.80,0,"$17,258,603.18","77,849,552","1,609,281","776,944",$0.22,$10.72,$22.21,0,-0.89%,-5.99%
Acetaminophen-Codeine,Acetaminophen With Codeine,Morton Grove Ph,"$72,821.39","2,997,820","9,497","6,703",$0.02,$7.67,$10.86,0,"$55,225.41","2,308,614","7,249","5,134",$0.02,$7.62,$10.76,0,"$37,210.53","1,616,353","5,319","3,862",$0.02,$7.00,$9.64,0,"$28,091.87","$1,249,576.60","3,683","2,602",$0.02,$7.63,$10.80,0,"$21,909.25","934,251","2,875","1,976",$0.02,$7.62,$11.09,0,4.31%,-0.88%
