"Medicare Part D Drug Spending and Utilization, Calendar Years 2015 - 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Average spending per dosage unit reflects multiple routes of administration of the drug (e.g., intravenous, subcutaneous) which individually may have different unit pricing. Additional information regarding calculation of spending per unit can be found in the methodology document.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Calendar Year 2015,,,,,,,,Calendar Year 2016,,,,,,,,Calendar Year 2017,,,,,,,,Calendar Year 2018,,,,,,,,Calendar Year 2019,,,,,,,,Yearly Change  ,
Abiraterone Acetate,Abiraterone Acetate,9, , , , , , , , , , , , , , , , , , , , , , , , ,"$26,623,436.37","435,123","3,622","3,328",$61.15,"$7,350.48","$7,999.83",0,"$513,012,317.32","11,526,049","98,686","17,788",$44.45,"$5,198.43","$28,840.36",0,-27.32%,-27.32%
Abraxane,Paclitaxel Protein-Bound,1,"$4,481,987.77","4,478",824,226,"$1,000.89","$5,439.31","$19,831.80",0,"$5,472,304.71","4,766",890,247,"$1,148.29","$6,148.66","$22,155.08",0,"$4,693,801.60","3,783",710,197,"$1,240.76","$6,610.99","$23,826.40",0,"$5,675,297.99","4,441",827,236,"$1,277.93","$6,862.51","$24,047.87",0,"$8,823,393.29","6,332","1,193",334,"$1,393.46","$7,395.97","$26,417.35",0,9.04%,8.62%
Absorica,Isotretinoin,1,"$287,388.53","10,540",224,106,$27.19,"$1,282.98","$2,711.21",0,"$273,335.55","8,820",179,88,$30.94,"$1,527.01","$3,106.09",0,"$379,410.66","11,460",246,108,$33.10,"$1,542.32","$3,513.06",0,"$317,230.79","8,970",180,78,$35.32,"$1,762.39","$4,067.06",0,"$256,597.51","6,840",150,47,$37.44,"$1,710.65","$5,459.52",0,5.98%,8.32%
Abstral,Fentanyl Citrate,1, , , ,172, , , , , , , ,168, , , , ,"$5,656,411.65","63,520",579,89,$86.92,"$9,769.28","$63,555.19",0,"$4,608,261.68","48,930",406,44,$91.21,"$11,350.40","$104,733.22",0,"$2,209,365.08","21,037",163,25,$100.62,"$13,554.39","$88,374.60",0,10.31%,7.59%
Acamprosate Calcium,Acamprosate Calcium,7,"$4,204,123.20","4,512,378","28,524","8,974",$0.93,$147.39,$468.48,0,"$4,642,949.67","4,971,204","31,073","9,479",$0.93,$149.42,$489.81,0,"$5,195,823.61","5,222,286","32,596","9,935",$0.99,$159.40,$522.98,0,"$5,299,710.04","5,566,964","34,852","10,709",$0.95,$152.06,$494.88,0,"$6,141,787.84","6,122,657","37,180","11,650",$1.00,$165.19,$527.19,0,5.42%,1.87%
Acanya,Clindamycin Phos/Benzoyl Perox,1,"$360,520.84","42,010",799,452,$8.58,$451.22,$797.61,0,"$293,488.75","33,180",630,354,$8.85,$465.86,$829.06,0,"$256,440.73","26,690",498,275,$9.61,$514.94,$932.51,0,"$146,741.77","13,850",254,143,$10.60,$577.72,"$1,026.17",0,"$60,935.72","5,750",107,56,$10.60,$569.49,"$1,088.14",0,0.02%,5.42%
Acarbose,Acarbose,6,"$7,334,072.48","15,666,334","132,235","42,219",$0.47,$55.46,$173.71,0,"$8,619,840.80","21,532,066","171,235","41,964",$0.40,$50.34,$205.41,0,"$9,545,707.52","25,725,170","193,408","42,405",$0.37,$49.36,$225.11,0,"$9,575,685.08","26,667,604","193,096","42,901",$0.36,$49.59,$223.20,0,"$9,754,547.48","27,873,354","192,343","44,067",$0.35,$50.71,$221.36,0,-2.46%,-6.97%
Accolate,Zafirlukast,1,"$385,693.96","104,988","1,161",361,$3.67,$332.21,"$1,068.40",0,"$438,430.04","119,582","1,357",310,$3.67,$323.09,"$1,414.29",0,"$374,889.01","100,896","1,082",190,$3.72,$346.48,"$1,973.10",0,"$335,122.21","89,645",951,166,$3.74,$352.39,"$2,018.81",0,"$267,173.42","70,926",730,141,$3.77,$365.99,"$1,894.85",0,0.76%,0.62%
Accupril,Quinapril HCl,1,"$1,129,256.33","387,580","5,760","1,089",$2.91,$196.05,"$1,036.97",0,"$2,144,784.89","632,695","8,201","1,751",$3.39,$261.53,"$1,224.89",0,"$2,579,860.45","633,931","8,091","1,731",$4.07,$318.86,"$1,490.39",0,"$2,823,256.85","609,380","7,381","1,640",$4.63,$382.50,"$1,721.50",0,"$2,657,878.87","575,596","6,756","1,518",$4.62,$393.41,"$1,750.91",0,-0.35%,12.20%
Accuretic,Quinapril/Hydrochlorothiazide,1,"$77,105.43","27,320",373,91,$2.82,$206.72,$847.31,0,"$282,084.23","86,664",961,252,$3.26,$293.53,"$1,119.38",0,"$328,817.05","84,381",986,257,$3.90,$333.49,"$1,279.44",0,"$354,071.71","80,439",931,229,$4.40,$380.31,"$1,546.16",0,"$311,595.63","70,847",776,211,$4.40,$401.54,"$1,476.76",0,-0.10%,11.72%
Acebutolol HCl,Acebutolol HCl,4,"$2,754,864.65","10,965,895","123,990","23,588",$0.25,$22.22,$116.79,0,"$3,700,973.18","10,805,909","119,455","23,192",$0.34,$30.98,$159.58,0,"$3,383,619.21","10,583,457","112,624","22,521",$0.32,$30.04,$150.24,0,"$3,489,919.77","10,349,242","105,391","21,867",$0.34,$33.11,$159.60,0,"$4,633,382.81","9,971,408","97,701","21,229",$0.46,$47.42,$218.26,0,37.43%,16.55%
Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,1,"$35,030.83","13,791",166,116,$2.54,$211.03,$301.99,0,"$326,990.99","136,010","1,496",756,$2.40,$218.58,$432.53,0,"$514,160.74","215,347","2,261","1,130",$2.39,$227.40,$455.01,0,"$507,947.64","203,714","2,277","1,070",$2.49,$223.08,$474.72,0,"$581,219.08","221,226","2,782","1,205",$2.63,$208.92,$482.34,0,5.37%,0.85%
Acetaminophen-Codeine,Acetaminophen With Codeine,12,"$43,753,231.25","214,070,203","3,672,939","1,721,982",$0.21,$11.91,$25.41,0,"$48,825,969.65","213,466,435","3,684,032","1,708,358",$0.23,$13.25,$28.58,0,"$40,663,146.58","204,384,983","3,579,526","1,658,489",$0.20,$11.36,$24.52,0,"$38,223,920.19","185,808,655","3,351,696","1,535,351",$0.21,$11.40,$24.90,0,"$35,278,939.37","163,164,509","3,202,678","1,417,969",$0.22,$11.02,$24.88,0,3.21%,1.04%
Acetazolamide,Acetazolamide,8,"$25,896,352.99","13,665,679","217,716","75,383",$1.89,$118.95,$343.53,0,"$25,918,640.13","14,056,151","222,620","77,385",$1.84,$116.43,$334.93,0,"$26,591,641.34","14,255,903","225,994","80,545",$1.86,$117.67,$330.15,0,"$25,198,482.87","14,892,218","233,724","86,470",$1.68,$107.81,$291.41,0,"$24,072,959.89","15,104,442","231,049","88,907",$1.58,$104.19,$270.77,0,-5.87%,-4.35%
Acetazolamide ER,Acetazolamide,6,"$11,271,078.09","4,129,428","82,717","32,916",$2.73,$136.26,$342.42,0,"$10,421,331.89","4,424,116","85,251","33,490",$2.36,$122.24,$311.18,0,"$10,889,671.64","4,649,944","86,266","34,563",$2.34,$126.23,$315.07,0,"$9,648,994.84","4,829,082","84,967","34,242",$2.00,$113.56,$281.79,0,"$9,032,904.47","5,046,683","84,190","34,382",$1.79,$107.29,$262.72,0,-10.31%,-9.97%
Acetazolamide Sodium,Acetazolamide Sodium,2, , , , , , , , ,"$28,722.54",656,26, ,$43.78,"$1,104.71", ,1,"$25,175.09","1,275",52, ,$19.75,$484.14, ,0,"$25,783.77","1,488",61, ,$17.33,$422.68, ,0,"$17,372.17","1,146",46, ,$15.04,$377.66, ,1,-13.21%,-29.97%
Acetic Acid*,Acetic Acid,6,"$756,809.95","39,996,414","39,414","28,896",$0.58,$19.20,$26.19,0,"$960,549.00","40,500,439","46,431","31,569",$0.70,$20.69,$30.43,0,"$1,378,880.15","46,970,488","66,185","34,855",$0.85,$20.83,$39.56,0,"$1,506,019.70","48,936,037","71,435","39,144",$0.92,$21.08,$38.47,0,"$1,384,486.22","49,609,377","67,458","35,595",$0.83,$20.52,$38.90,0,-10.10%,9.17%
Acetylcysteine*,Acetylcysteine,8,"$1,340,453.11","1,868,714","24,817","7,631",$0.71,$54.01,$175.66,0,"$1,730,304.39","2,198,334","28,064","7,683",$0.80,$61.66,$225.21,0,"$2,383,982.05","2,280,299","28,989","7,995",$1.04,$82.24,$298.18,0,"$2,139,068.69","2,003,734","24,208","6,766",$1.05,$88.36,$316.15,0,"$1,985,444.65","2,370,268","28,051","7,361",$0.83,$70.78,$269.72,0,-21.06%,3.88%
Aciphex,Rabeprazole Sodium,1,"$30,821,878.88","2,211,045","36,471","7,200",$13.94,$845.11,"$4,280.82",0,"$27,853,938.57","1,799,084","28,174","5,504",$15.48,$988.64,"$5,060.67",0,"$25,305,061.08","1,495,019","21,938","4,461",$16.93,"$1,153.48","$5,672.51",0,"$22,178,234.16","1,299,928","18,573","3,781",$17.06,"$1,194.11","$5,865.71",0,"$19,678,260.33","1,153,216","15,888","3,324",$17.06,"$1,238.56","$5,920.05",0,0.02%,5.18%
Acitretin,Acitretin,6,"$30,933,433.04","1,287,670","34,366","7,970",$24.19,$900.12,"$3,881.23",0,"$25,591,591.91","1,251,683","33,633","7,939",$20.57,$760.91,"$3,223.53",0,"$26,151,641.72","1,319,121","34,827","8,122",$19.94,$750.90,"$3,219.85",0,"$25,186,361.92","1,508,301","40,995","8,660",$16.82,$614.38,"$2,908.36",0,"$23,618,387.95","1,601,361","45,281","9,054",$14.80,$521.60,"$2,608.61",0,-11.98%,-11.55%
Actemra Actpen,Tocilizumab,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$17,195,137.67","14,862","4,465","1,177","$1,156.96","$3,851.09","$14,609.29",0, , 
Actemra*,Tocilizumab,1,"$43,506,165.44","119,325","17,891","2,925",$677.19,"$2,431.73","$14,873.90",0,"$61,489,156.80","137,157","22,160","3,499",$784.73,"$2,774.78","$17,573.35",0,"$86,400,039.01","151,318","27,277","4,701",$906.82,"$3,167.51","$18,379.08",0,"$130,523,440.19","185,716","36,091","5,786","$1,015.80","$3,616.51","$22,558.49",0,"$132,676,233.62","198,567","35,730","5,446","$1,017.94","$3,713.30","$24,362.14",0,0.21%,10.73%
Acthar,Corticotropin,1,"$503,999,371.37","73,820","11,186","3,104","$6,827.41","$45,056.26","$162,370.93",0,"$636,174,839.71","91,690","12,834","3,076","$6,938.32","$49,569.49","$206,818.87",0,"$680,958,459.15","92,635","12,480","2,841","$7,350.98","$54,563.98","$239,689.71",0,"$724,638,118.93","90,830","11,907","2,475","$7,977.96","$60,858.16","$292,783.08",0,"$668,892,380.25","82,995","10,965","2,102","$8,059.43","$61,002.50","$318,217.12",0,1.02%,4.23%
Acthib,Haemoph B Poly Conj-Tet Tox/PF,1,"$26,371.43",718,678,588,$36.73,$38.90,$44.85,0,"$11,731.27",277,292,265,$42.43,$40.18,$44.27,1,"$14,139.76",438,434,379,$32.28,$32.58,$37.31,1,"$27,574.35",816,786,704,$33.80,$35.08,$39.17,1,"$44,034.23","1,129","1,132",949,$39.00,$38.90,$46.40,1,15.41%,1.51%
Actigall,Ursodiol,2,"$835,932.32","119,153",865,190,$7.02,$966.40,"$4,399.64",0,"$784,865.18","103,610",753,157,$7.58,"$1,042.32","$4,999.14",0,"$872,869.19","101,554",727,160,$8.60,"$1,200.65","$5,455.43",0,"$856,611.14","92,501",634,136,$9.26,"$1,351.12","$6,298.61",0,"$737,953.16","79,177",552,132,$9.32,"$1,336.87","$5,590.55",0,0.64%,7.36%
Actimmune,"Interferon Gamma-1b,Recomb.",1,"$24,298,651.79","3,846",505,62,"$6,318.72","$48,116.14","$391,913.74",0,"$22,560,662.62","3,114",452,64,"$7,246.08","$49,912.97","$352,510.35",0,"$21,874,057.57","2,662",410,50,"$8,217.15","$53,351.36","$437,481.15",0,"$20,697,515.11","2,307",369,53,"$8,971.61","$56,090.83","$390,519.15",0,"$20,879,139.70","2,227",381,47,"$9,377.56","$54,800.89","$444,237.01",0,4.52%,10.37%
Actiq,Fentanyl Citrate,1,"$2,781,813.95","26,861",220,36,$100.82,"$12,644.61","$77,272.61",1,"$2,808,034.30","23,430",174,19,$118.34,"$16,138.13","$147,791.28",1,"$2,198,170.86","17,102",123,14,$122.22,"$17,871.31","$157,012.20",1,"$1,327,670.59","9,625",71, ,$129.56,"$18,699.59", ,1,"$1,185,811.16","9,300",61, ,$121.98,"$19,439.53", ,1,-5.85%,4.88%
Activella,Estradiol/Norethindrone Acet,1, , , ,483, , , , ,"$188,366.55","24,780",532,410,$7.62,$354.07,$459.43,0,"$486,361.41","63,379","1,448",297,$7.69,$335.88,"$1,637.58",0,"$513,016.96","61,686","1,326",256,$8.34,$386.89,"$2,003.97",0,"$292,093.79","30,604",675,210,$9.52,$432.73,"$1,390.92",0,14.21%,7.72%
Actonel,Risedronate Sodium,1,"$45,287,749.15","797,304","129,792","39,660",$85.57,$348.93,"$1,141.90",0,"$8,750,172.97","112,627","22,128","5,951",$138.94,$395.43,"$1,470.37",0,"$4,832,386.05","55,641","9,754","2,228",$157.84,$495.43,"$2,168.93",0,"$3,671,232.33","36,899","6,595","1,445",$173.73,$556.67,"$2,540.65",0,"$2,907,325.96","27,665","4,581","1,064",$180.20,$634.65,"$2,732.45",0,3.72%,20.46%
Actoplus Met,Pioglitazone HCl/Metformin HCl,1,"$927,246.26","117,072","1,355",322,$7.92,$684.31,"$2,879.65",0,"$734,156.55","84,067",953,216,$8.73,$770.36,"$3,398.87",0,"$609,761.63","64,831",712,161,$9.41,$856.41,"$3,787.34",0,"$461,467.05","47,787",556,113,$9.66,$829.98,"$4,083.78",0,"$374,075.50","38,502",433,91,$9.71,$863.92,"$4,110.72",0,0.61%,5.24%
Actoplus Met XR,Pioglitazone HCl/Metformin HCl,1,"$2,801,788.81","270,702","3,356",878,$11.28,$834.86,"$3,191.10",0,"$2,754,835.69","246,672","2,974",732,$12.16,$926.31,"$3,763.44",0,"$2,700,191.45","228,128","2,554",617,$12.78,"$1,057.24","$4,376.32",0,"$1,648,279.84","136,444","1,541",536,$13.11,"$1,069.62","$3,075.15",0,"$10,992.28",837,13,12,$14.64,$845.56,$916.02,1,11.62%,6.74%
Actos,Pioglitazone HCl,1,"$4,862,952.80","332,279","6,763","1,554",$14.74,$719.05,"$3,129.31",0,"$3,850,687.67","240,651","4,711","1,055",$16.09,$817.38,"$3,649.94",0,"$3,428,174.99","195,724","3,749",808,$17.55,$914.42,"$4,242.79",0,"$2,784,260.16","159,372","2,982",632,$17.42,$933.69,"$4,405.47",0,"$2,293,887.44","132,352","2,461",546,$17.30,$932.10,"$4,201.26",0,-0.70%,4.08%
Acular,Ketorolac Tromethamine,1,"$105,496.14","2,991",450,202,$35.27,$234.44,$522.26,1,"$107,631.23","2,775",439,204,$38.79,$245.17,$527.60,1,"$104,287.51","2,815",430,222,$37.05,$242.53,$469.76,0,"$89,458.99","2,401",383,216,$37.26,$233.57,$414.16,0,"$73,030.12","1,865",297,177,$39.16,$245.89,$412.60,0,5.10%,2.65%
Acular Ls,Ketorolac Tromethamine,1,"$127,423.16","3,421",573,277,$37.25,$222.38,$460.01,1,"$91,009.22","2,131",347,161,$42.71,$262.27,$565.27,1,"$62,510.71","1,300",207,97,$48.09,$301.98,$644.44,0,"$55,760.95","1,170",183,87,$47.66,$304.70,$640.93,1,"$42,093.70",895,128,61,$47.03,$328.86,$690.06,0,-1.32%,6.00%
Acuvail,Ketorolac Tromethamine/PF,1,"$520,734.95","70,525","1,655",877,$7.38,$314.64,$593.77,0,"$481,254.14","56,785","1,319",630,$8.48,$364.86,$763.90,0,"$349,931.47","38,222",826,408,$9.16,$423.65,$857.68,0,"$350,759.69","34,304",771,343,$10.23,$454.94,"$1,022.62",0,"$292,214.13","27,503",587,274,$10.62,$497.81,"$1,066.47",0,3.91%,9.52%
Acyclovir Sodium,Acyclovir Sodium,2,"$84,820.06","129,766",411,167,$0.67,$206.37,$507.90,0,"$94,800.25","189,888",484,182,$0.50,$195.87,$520.88,0,"$69,717.86","142,297",413,151,$0.49,$168.81,$461.71,0,"$78,629.18","100,176",345,113,$0.81,$227.91,$695.83,0,"$68,570.69","102,447",323,112,$0.67,$212.29,$612.24,0,-17.38%,0.05%
Acyclovir*,Acyclovir,32,"$68,125,533.69","98,914,535","1,601,176","640,016",$1.37,$42.55,$106.44,0,"$66,405,726.02","107,164,030","1,695,028","661,786",$1.25,$39.18,$100.34,0,"$51,805,617.34","113,759,794","1,738,317","664,062",$0.88,$29.80,$78.01,0,"$48,319,839.44","122,323,344","1,796,354","675,047",$0.71,$26.90,$71.58,0,"$57,743,896.02","129,984,819","1,852,608","688,687",$1.38,$31.17,$83.85,0,94.37%,0.21%
Aczone,Dapsone,1,"$1,081,365.89","152,190","1,896","2,573",$7.11,$570.34,$420.27,0,"$1,695,851.35","217,530","2,938","2,209",$7.80,$577.21,$767.70,0,"$2,087,142.73","241,410","3,396","1,953",$8.65,$614.59,"$1,068.69",0,"$1,334,285.05","141,030","1,935","1,099",$9.46,$689.55,"$1,214.09",0,"$1,121,812.94","110,730","1,577",921,$10.13,$711.36,"$1,218.04",0,7.08%,9.27%
Adacel Tdap,"Diph,Pertuss(Acell),Tet Vac/PF",1,"$10,998,965.20","126,052","189,614","188,974",$87.25,$58.01,$58.20,0,"$10,032,153.66","106,893","167,751","167,176",$93.79,$59.80,$60.01,0,"$10,051,752.86","110,224","169,874","168,993",$91.35,$59.17,$59.48,0,"$10,981,973.61","136,166","191,522","190,992",$80.81,$57.34,$57.50,0,"$11,035,902.00","119,147","182,351","181,786",$92.67,$60.52,$60.71,0,14.68%,1.52%
Adalat Cc,Nifedipine,1, , , ,439, , , , ,"$1,322.76",844,13,397,$1.57,$101.75,$3.33,0,"$24,114.04","12,263",217,269,$2.08,$111.12,$89.64,0,"$44,088.70","17,449",281,75,$2.68,$156.90,$587.85,0,"$43,526.16","16,862",270,84,$2.69,$161.21,$518.17,0,0.46%,19.76%
Adapalene,Adapalene,9,"$1,683,619.54","489,730","10,172","5,202",$3.44,$165.52,$323.65,0,"$1,490,188.91","461,927","9,632","5,211",$3.22,$154.71,$285.97,0,"$1,544,405.63","486,406","10,168","5,326",$3.18,$151.89,$289.97,0,"$1,544,791.19","509,104","10,622","5,096",$3.03,$145.43,$303.14,0,"$1,781,632.28","622,404","12,295","5,580",$2.87,$144.91,$319.29,0,-5.16%,-4.38%
Adapalene-Benzoyl Peroxide,Adapalene/Benzoyl Peroxide,5, , , , , , , , , , , , , , , , ,"$68,977.76","10,215",202,139,$6.76,$341.47,$496.24,0,"$153,587.07","32,610",662,405,$4.73,$232.00,$379.23,0,"$131,161.31","58,095","1,194",693,$2.26,$109.85,$189.27,0,-52.27%,-42.23%
Adcirca,Tadalafil,1,"$212,505,630.01","5,109,163","83,453","10,653",$41.59,"$2,546.41","$19,947.96",0,"$275,975,645.54","5,468,516","89,372","10,987",$50.47,"$3,087.94","$25,118.38",0,"$322,470,821.83","5,323,520","87,125","10,406",$60.57,"$3,701.24","$30,988.93",0,"$266,243,840.60","3,898,308","64,453","8,976",$68.30,"$4,130.82","$29,661.75",0,"$82,753,859.13","1,182,571","18,903","2,802",$69.98,"$4,377.82","$29,533.85",0,2.46%,13.89%
Adderall,Dextroamphetamine/Amphetamine,1,"$2,337,548.56","477,440","6,204","1,324",$4.90,$376.78,"$1,765.52",0,"$2,661,509.22","497,949","6,714","1,333",$5.35,$396.41,"$1,996.63",0,"$3,153,572.21","535,605","7,408","1,368",$5.89,$425.70,"$2,305.24",0,"$3,859,747.43","608,506","8,495","1,552",$6.34,$454.36,"$2,486.95",0,"$4,750,438.52","676,194","9,563","1,806",$7.03,$496.75,"$2,630.36",0,10.77%,9.45%
Adderall XR,Dextroamphetamine/Amphetamine,1,"$9,167,774.03","1,597,283","26,646","6,047",$5.82,$344.06,"$1,516.09",0,"$8,987,834.37","1,681,371","27,185","6,225",$5.43,$330.62,"$1,443.83",0,"$7,772,310.18","1,553,140","31,661","5,964",$5.05,$245.49,"$1,303.20",0,"$8,035,488.33","1,677,103","34,598","5,955",$4.85,$232.25,"$1,349.37",0,"$9,207,716.06","1,876,174","40,172","8,088",$4.97,$229.21,"$1,138.44",0,2.50%,-3.88%
Adefovir Dipivoxil,Adefovir Dipivoxil,2,"$6,916,040.11","239,914","6,751",974,$28.83,"$1,024.45","$7,100.66",0,"$6,185,377.12","232,352","6,437",938,$26.62,$960.91,"$6,594.22",0,"$5,857,506.13","207,758","6,401",845,$28.19,$915.09,"$6,931.96",0,"$5,325,462.51","189,521","5,778",740,$28.10,$921.68,"$7,196.57",0,"$4,756,444.93","170,441","5,148",681,$27.91,$923.94,"$6,984.50",0,-0.66%,-0.80%
Adempas,Riociguat,1,"$114,373,947.39","1,223,162","14,178","1,947",$93.51,"$8,067.00","$58,743.68",0,"$184,518,116.09","1,853,357","21,387","2,785",$99.56,"$8,627.58","$66,254.26",0,"$241,035,243.74","2,268,251","26,202","3,115",$106.26,"$9,199.12","$77,378.89",0,"$256,166,028.16","2,292,012","26,240","3,192",$111.77,"$9,762.42","$80,252.52",0,"$316,869,356.47","2,679,851","30,601","3,774",$118.24,"$10,354.87","$83,961.14",0,5.79%,6.04%
Adlyxin,Lixisenatide,1, , , , , , , , , , , , , , , , ,"$24,669.45",270,28,13,$91.64,$881.05,"$1,897.65",1,"$63,298.03",636,70,26,$99.67,$904.26,"$2,434.54",0,"$60,595.43",573,73,25,$105.65,$830.07,"$2,423.82",0,6.00%,7.37%
Admelog,Insulin Lispro,1, , , , , , , , , , , , , , , , , , , , , , , , ,"$403,661.76","17,019","1,068",658,$23.72,$377.96,$613.47,0,"$2,076,727.30","120,034","9,222","4,566",$17.30,$225.19,$454.82,0,-27.06%,-27.06%
Admelog Solostar,Insulin Lispro,1, , , , , , , , , , , , , , , , , , , , , , , , ,"$1,124,957.97","36,927","2,993","1,645",$30.46,$375.86,$683.87,0,"$5,633,359.13","1,248,414","20,435","9,304",$4.51,$275.67,$605.48,0,-85.19%,-85.19%
